vocab,organ_system,adverse_event_term,trial_count
NA,Gastrointestinal disorders,Nausea,4465
NA,Nervous system disorders,Headache,3859
NA,General disorders,Fatigue,3360
NA,Gastrointestinal disorders,Vomiting,3036
NA,Gastrointestinal disorders,Diarrhea,2922
NA,Gastrointestinal disorders,Constipation,2877
NA,Nervous system disorders,Dizziness,2414
NA,"Respiratory, thoracic and mediastinal disorders",Cough,2178
NA,Gastrointestinal disorders,Abdominal pain,1724
NA,Blood and lymphatic system disorders,Anemia,1700
